response
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.85,0.75,0.65,0.55,0.45,0.35"
"0.85,0.80,0.75,0.60,0.45,0.30"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.85,0.75,0.65,0.55,0.45,0.35"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.85,0.70,0.55,0.40,0.30,0.20"
"0.85,0.70,0.55,0.40,0.30,0.20"
"0.75,0.65,0.55,0.45,0.35,0.30"
"0.65,0.58,0.50,0.42,0.35,0.30"
"0.75,0.65,0.50,0.40,0.30,0.20"
"0.7,0.65,0.55,0.45,0.35,0.25"
"0.85,0.75,0.65,0.55,0.45,0.35"
"0.85,0.75,0.65,0.55,0.45,0.35"
"0.65,0.60,0.50,0.40,0.30,0.20"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.75,0.70,0.60,0.50,0.45,0.40"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.80,0.70,0.55,0.40,0.25,0.10"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.75,0.65,0.55,0.45,0.35,0.25"
"0.85,0.75,0.65,0.55,0.40,0.30"
"0.85,0.75,0.65,0.55,0.45,0.35"
"0.85,0.80,0.65,0.50,0.35,0.20"
"0.85,0.75,0.65,0.50,0.40,0.30"
"0.65,0.60,0.55,0.40,0.30,0.25"
"0.85,0.70,0.55,0.40,0.30,0.20"
"0.85,0.75,0.65,0.55,0.45,0.35"
"0.65,0.55,0.45,0.35,0.25,0.15"
"0.65,0.55,0.45,0.35,0.25,0.15"
"0.75,0.65,0.50,0.38,0.30,0.22"
"0.85,0.75,0.65,0.55,0.45,0.35"
"0.85,0.75,0.65,0.55,0.45,0.35"
"0.65,0.60,0.55,0.50,0.45,0.40"
