response
"1.0,0.9,0.75,0.5,0.3,0.1,0.05,0.02,0.01,0.01,0.0"
"0.95,0.90,0.80,0.70,0.60,0.50,0.40,0.30,0.20,0.10,0.05"
"1.0,0.9,0.75,0.6,0.4,0.2,0.1,0.05,0.02,0.01,0.0"
"1,0.9,0.8,0.6,0.4,0.3,0.25,0.2,0.15,0.1,0.05"
"0.95,0.85,0.70,0.55,0.40,0.30,0.25,0.20,0.15,0.10,0.05"
"1,0.9,0.8,0.6,0.4,0.2,0.15,0.1,0.05,0.02,0"
"1.00,0.95,0.85,0.75,0.55,0.40,0.25,0.15,0.10,0.05,0.01"
"1.00,0.90,0.80,0.70,0.50,0.40,0.30,0.20,0.10,0.05,0.01"
"1.00,0.90,0.75,0.60,0.50,0.35,0.25,0.15,0.10,0.05,0.01"
"1,0.95,0.85,0.65,0.40,0.20,0.10,0.05,0.02,0.01,0.00"
"1,0.85,0.75,0.65,0.55,0.45,0.35,0.25,0.15,0.1,0.05"
"0.95,0.85,0.70,0.60,0.50,0.40,0.35,0.30,0.25,0.20,0.15"
"0.95,0.85,0.75,0.65,0.55,0.45,0.35,0.25,0.15,0.05,0.01"
"1.00,0.95,0.90,0.70,0.50,0.40,0.30,0.20,0.10,0.05,0.01"
"1.00,0.90,0.75,0.60,0.40,0.20,0.10,0.05,0.02,0.01,0.00"
"0.95,0.85,0.70,0.50,0.30,0.25,0.15,0.10,0.05,0.02,0.01"
"0.90,0.80,0.65,0.50,0.35,0.25,0.15,0.10,0.05,0.02,0.01"
"0.95,0.85,0.75,0.65,0.55,0.45,0.35,0.25,0.15,0.05,0.01"
"0.95,0.87,0.75,0.60,0.45,0.30,0.20,0.10,0.05,0.02,0.01"
"0.95,0.90,0.80,0.70,0.60,0.50,0.40,0.30,0.20,0.10,0.05"
"0.85,0.80,0.75,0.60,0.50,0.40,0.30,0.20,0.15,0.10,0.05"
"1,0.95,0.85,0.65,0.45,0.30,0.20,0.10,0.05,0.02,0.01"
"0.95,0.85,0.75,0.55,0.40,0.30,0.20,0.10,0.05,0.02,0.01"
"0.95,0.85,0.75,0.65,0.55,0.45,0.35,0.25,0.15,0.10,0.05"
"1.00,0.90,0.75,0.50,0.30,0.15,0.10,0.05,0.02,0.01,0.00"
"1.0,0.95,0.85,0.65,0.45,0.25,0.15,0.10,0.05,0.02,0.01"
"0.95,0.85,0.75,0.60,0.45,0.30,0.20,0.15,0.10,0.05,0.01"
"0.95,0.85,0.75,0.55,0.40,0.30,0.20,0.15,0.10,0.05,0.02"
"0.95,0.85,0.75,0.60,0.50,0.40,0.30,0.20,0.10,0.05,0.02"
"1.0,0.95,0.85,0.7,0.5,0.3,0.1,0.05,0.02,0.01,0.0"
"0.90,0.85,0.75,0.60,0.50,0.40,0.30,0.20,0.15,0.10,0.05"
"1.00,0.92,0.75,0.50,0.30,0.10,0.05,0.02,0.01,0.00,0.00"
"1.0,0.95,0.85,0.70,0.50,0.30,0.15,0.05,0.02,0.01,0.0"
"1.0,0.95,0.85,0.7,0.5,0.3,0.2,0.15,0.1,0.05,0.01"
"0.85,0.75,0.65,0.55,0.45,0.35,0.25,0.15,0.10,0.05,0.01"
"0.85,0.78,0.65,0.55,0.45,0.35,0.30,0.25,0.20,0.15,0.10"
"1.0,0.8,0.6,0.4,0.2,0.1,0.05,0.02,0.01,0.01,0.0"
"0.95,0.90,0.80,0.70,0.55,0.40,0.30,0.20,0.10,0.05,0.01"
"0.85,0.78,0.68,0.55,0.4,0.3,0.25,0.2,0.15,0.1,0.05"
"0.85,0.70,0.55,0.40,0.30,0.20,0.15,0.10,0.05,0.02,0.01"
